date,state,district,pincode,bio_age_5_17,bio_age_17_
02-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00028,9,17
13-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00013,11,11
01-03-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00075,37,268
14-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00018,1,4
25-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00047,15,79
01-06-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06077,124,241
01-07-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00016,128,236
25-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06078,1,5
17-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00064,72,9
27-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00062,5,2
26-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00013,11,55
13-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00036,5,4
09-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00068,4,3
04-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06079,0,1
13-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00049,22,72
11-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00072,57,21
02-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00021,17,23
11-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00077,25,27
11-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00048,26,18
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00080,53,2
01-04-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00076,118,201
12-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06079,1,5
18-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00074,4,7
14-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00061,51,2
02-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00082,11,11
01-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00043,8,7
17-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00076,43,2
03-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00079,27,54
08-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00064,17,22
08-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00001,3,11
26-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06080,0,3
07-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00055,2,9
11-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00023,1,0
12-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00021,61,19
12-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00064,6,28
19-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06077,62,4
25-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06079,0,3
17-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00066,70,7
01-03-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00073,79,269
11-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00070,12,14
16-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00049,3,30
19-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00013,6,4
12-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06078,1,1
12-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00039,1,3
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00017,18,12
11-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00053,30,25
28-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00040,0,1
27-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00304,1,0
17-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00027,1,2
19-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00011,0,4
14-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_03283,1,0
25-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00029,0,3
11-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00071,13,38
05-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00066,4,16
13-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00062,31,5
01-04-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00046,98,136
01-04-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00010,67,166
14-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00011,3,0
03-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00069,4,2
15-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00085,8,8
13-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00035,6,8
10-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00028,2,15
18-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00032,0,1
08-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00005,20,15
13-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00071,15,26
11-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00085,6,13
16-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00040,1,2
04-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00061,5,5
13-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00003,6,7
11-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00022,2,6
16-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00045,188,31
16-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06080,2,4
15-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00080,6,6
19-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00016,1,4
07-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00076,7,14
06-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00073,1,5
08-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00018,26,26
13-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00015,3,1
27-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00036,3,2
15-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00024,8,4
26-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00073,10,26
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00019,19,5
06-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00032,9,13
14-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00024,2,3
08-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00045,103,75
04-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,1,3
26-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00012,27,27
07-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00020,2,3
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00063,5,5
25-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00070,11,7
10-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00079,32,52
07-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00049,12,38
13-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00007,1,0
13-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00072,40,31
16-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00057,1,0
01-07-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00081,188,191
08-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00058,12,24
11-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00021,11,6
19-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06077,6,5
01-03-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,112,134
13-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00037,19,43
08-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00072,50,45
19-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00065,11,8
14-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00019,1,1
26-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00034,7,12
08-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00016,12,5
01-06-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00062,90,167
01-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00070,9,9
11-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00046,18,20
20-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00045,49,27
01-07-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00024,330,405
09-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00062,6,1
01-07-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00015,10,17
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00010,28,15
05-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00051,3,13
09-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00024,14,8
16-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00071,48,14
06-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00059,3,1
13-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00059,6,3
13-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00062,13,3
25-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00002,38,13
16-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,1,1
18-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00023,0,8
13-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00013,16,8
06-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00085,6,15
04-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00064,4,3
12-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00010,14,20
05-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00034,10,7
01-07-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00031,475,783
13-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00019,16,19
14-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00010,42,1
17-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00080,74,2
16-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00062,7,12
09-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06079,1,3
15-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00012,82,5
08-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00077,17,16
19-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00037,149,28
04-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00085,5,1
14-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00020,1,1
04-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_03283,0,1
16-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00082,4,7
13-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00081,72,11
14-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00038,40,21
03-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00039,2,6
11-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00045,192,36
02-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00035,30,6
01-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,6,2
25-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00043,12,8
14-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00046,7,7
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00055,29,7
01-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00032,4,14
16-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00035,35,8
01-06-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00007,22,63
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00049,144,29
19-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00067,0,8
11-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00057,10,2
01-07-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00063,40,143
11-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00083,2,1
19-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00019,13,17
01-07-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00064,190,315
01-06-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00063,35,129
09-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00038,66,20
17-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00048,38,3
14-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00022,5,3
08-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00037,45,51
17-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00005,54,24
06-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00046,19,17
01-05-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00054,111,247
16-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00030,80,28
12-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06080,1,3
04-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00003,6,6
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00081,57,9
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00054,19,14
25-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00064,3,14
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00019,107,6
15-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00028,4,3
02-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00038,17,17
01-06-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00079,597,1273
11-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00042,7,18
18-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00028,6,14
12-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00072,50,36
01-03-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00022,45,43
14-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00042,2,7
10-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00002,65,13
13-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00070,14,4
01-07-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00072,507,947
01-05-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00037,311,725
08-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00065,8,10
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00004,86,9
01-07-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00040,89,191
16-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00012,134,14
18-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00047,4,18
18-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00044,9,6
14-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00081,53,1
28-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00081,4,7
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00044,62,11
19-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00016,39,1
03-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00025,5,4
11-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00028,37,3
09-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00061,5,5
09-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00039,4,4
19-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00009,48,1
19-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,2,8
01-05-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00035,134,175
15-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00016,18,0
14-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00033,3,1
13-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00025,9,5
04-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00021,61,19
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00018,96,4
16-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00002,34,6
07-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06078,3,0
18-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00011,2,2
11-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06079,1,4
12-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00034,3,6
11-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00036,1,3
05-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00038,1,1
05-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00011,2,0
08-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00075,5,20
08-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00029,1,2
08-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00056,5,18
01-04-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00039,126,193
10-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00065,6,12
01-03-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00054,133,302
09-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00058,5,11
17-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00063,1,9
01-05-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00052,10,29
03-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_03283,1,1
17-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00066,3,9
26-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00042,6,11
01-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00034,6,9
02-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00046,25,11
10-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00080,4,14
10-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00059,7,3
07-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00009,8,7
17-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00003,0,5
01-06-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00008,114,184
19-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00007,2,1
10-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00023,13,5
25-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00065,7,5
01-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00017,8,10
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00083,27,6
26-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00074,10,8
13-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00054,6,7
06-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00017,16,23
10-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00079,95,40
06-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00063,11,15
16-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00006,5,1
26-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00056,14,26
17-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00075,38,5
19-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00010,34,7
16-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00082,6,12
01-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00054,24,9
15-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00075,3,10
19-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06079,2,5
08-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00014,4,3
19-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00056,16,10
10-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00057,6,8
01-06-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00074,86,198
27-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00028,9,10
19-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00086,18,12
12-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00091,13,12
01-07-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00099,1102,270
16-11-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00118,17,7
14-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00094,0,1
01-07-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00111,1328,263
02-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00128,1,2
25-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00097,6,5
19-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00112,92,20
10-11-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00108,1,7
09-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00102,33,31
18-11-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00087,18,31
18-11-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00106,29,23
19-11-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00091,10,10
16-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00097,18,7
02-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00108,4,1
07-11-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00115,1,1
12-11-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00091,19,10
18-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00126,83,24
03-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00094,23,10
09-11-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00095,4,15
28-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00113,2,6
01-06-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00108,77,35
28-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00089,8,9
12-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00086,12,16
18-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00119,34,8
17-11-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00108,1,1
11-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_06081,1,0
