date,state,district,pincode,demo_age_5_17,demo_age_17_
16-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00040,1,6
06-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00013,2,14
29-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00063,0,2
26-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00078,3,44
11-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00052,0,4
25-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00036,1,2
16-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00052,0,1
23-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06080,0,3
10-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00057,0,1
27-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00039,1,23
27-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00024,2,58
13-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00077,0,60
20-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00050,0,15
07-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_03336,0,1
12-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00024,2,253
14-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00056,0,6
01-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00022,0,11
04-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00010,1,7
09-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00053,3,25
20-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00059,1,4
10-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00021,0,39
30-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00078,3,70
24-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00030,2,3
13-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00065,1,4
18-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00023,0,27
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00041,1,3
21-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00002,0,3
12-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00063,0,2
30-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00049,1,23
20-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00010,2,6
29-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00017,2,17
19-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00007,0,5
16-10-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00098,4,31
08-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00090,2,21
28-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00092,1,74
04-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00112,12,55
07-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00092,1,14
10-11-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00107,1,26
18-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00131,0,2
15-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00096,7,74
10-11-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00111,3,41
26-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00089,5,47
12-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00131,4,20
12-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00124,9,146
15-11-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00108,0,4
22-10-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00104,0,1
06-11-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00110,0,10
19-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00123,0,2
19-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00120,5,12
02-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00106,26,75
16-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00101,3,79
11-11-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00090,2,10
14-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00131,0,10
08-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00096,8,84
13-11-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00131,1,14
27-11-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00098,2,31
18-11-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00108,1,7
15-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00088,3,42
25-12-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00087,2,47
03-11-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00118,7,42
