date,state,district,pincode,age_0_5,age_5_17,age_18_greater
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00031,2,4,0
23-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00032,3,0,0
30-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00033,0,1,0
17-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00034,2,2,0
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00004,1,3,0
31-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00035,2,0,0
17-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00030,2,0,0
02-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00014,1,0,0
07-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00020,0,1,0
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00019,3,2,0
07-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00036,1,0,0
24-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00037,1,2,0
13-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00038,3,3,0
15-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00035,1,0,0
06-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00017,1,0,0
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00039,1,0,0
15-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00040,1,0,0
01-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00025,2,0,0
24-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00041,3,0,0
18-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00042,2,0,0
02-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00008,4,0,0
31-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00034,1,1,0
03-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00043,2,1,0
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00044,3,1,0
09-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00031,4,2,0
25-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00045,2,1,0
13-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00019,7,0,0
10-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00046,5,0,0
23-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00015,1,0,0
22-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00047,68,0,0
29-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00048,16,1,0
16-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00049,1,0,0
01-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00035,2,2,0
05-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00030,2,0,0
18-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00028,1,0,0
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00050,1,1,0
17-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00041,1,0,0
24-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00023,2,0,0
25-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00051,1,0,0
17-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00052,1,0,0
10-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00025,0,1,0
22-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00053,12,0,0
31-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00054,9,1,0
01-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00006,1,0,0
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00023,1,0,0
15-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00055,6,0,0
15-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00023,0,1,0
26-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00056,8,0,0
04-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00057,1,0,0
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00044,2,0,0
23-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,1,0,0
01-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00024,4,2,0
04-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00053,1,2,0
04-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00055,2,0,0
19-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00055,1,0,0
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00058,3,6,0
11-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00059,2,1,0
15-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00060,1,0,0
04-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00061,2,0,0
15-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00012,1,0,1
25-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00062,3,1,0
24-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00032,0,1,0
16-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00037,1,1,0
25-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00017,3,1,0
05-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00049,2,0,0
15-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00010,2,0,0
07-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00058,0,1,0
27-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00062,3,0,0
15-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00063,3,0,0
19-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00019,2,2,0
14-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00064,1,0,0
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00033,1,0,0
15-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00065,2,2,0
26-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00066,1,0,0
14-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00067,0,1,0
27-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00064,1,0,0
03-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00004,1,0,0
22-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00054,12,0,0
23-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00010,6,0,0
22-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00049,31,0,0
01-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00028,2,0,0
30-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00056,2,0,0
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00053,2,3,0
14-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00066,1,0,0
15-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00034,1,1,0
22-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00030,0,2,0
14-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00013,1,0,0
16-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00037,2,1,0
21-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,0,1,0
19-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00035,2,0,0
22-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00022,1,0,0
05-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00050,4,1,0
12-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00068,1,0,0
19-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00044,0,1,0
09-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00069,2,0,0
26-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00069,3,0,0
22-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00070,6,0,0
27-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00071,1,0,0
11-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00063,2,0,0
26-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00004,1,0,0
09-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00063,1,0,0
01-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00038,2,0,0
24-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00007,1,0,0
01-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00050,1,1,0
25-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00072,2,0,0
16-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00015,1,1,0
19-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00073,0,1,0
20-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00048,2,0,0
16-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00074,3,1,0
09-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00043,1,0,0
19-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00010,2,1,0
31-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00053,0,1,0
28-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00049,2,1,0
05-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00067,0,1,0
27-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00031,1,0,0
02-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00046,3,1,0
03-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00072,5,0,0
05-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00075,2,1,0
25-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00076,1,0,0
13-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00066,1,0,0
22-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00072,11,1,0
26-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00039,2,2,0
06-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00028,1,0,0
22-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00034,2,0,0
02-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00073,1,0,0
29-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00072,19,1,0
02-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00049,7,1,0
31-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00032,3,0,0
27-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00042,4,0,0
15-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00038,4,0,0
16-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00057,1,0,0
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00049,1,0,0
02-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00040,1,0,0
27-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00054,3,1,0
15-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00077,3,0,0
01-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00047,4,0,0
30-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00053,3,1,0
17-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00072,10,0,0
06-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00058,1,1,0
24-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00035,0,1,0
08-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00030,1,0,0
03-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00043,0,2,0
31-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00019,3,0,0
19-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00038,7,3,0
22-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00059,1,0,0
17-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00003,2,2,0
17-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00078,5,2,0
04-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00079,7,7,0
09-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00080,1,0,0
06-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00008,1,0,0
17-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00070,1,0,0
07-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00045,1,0,0
11-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00042,1,0,0
11-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00014,0,1,0
04-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00072,6,3,0
09-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,1,0,0
28-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00064,2,0,0
02-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00003,1,2,0
11-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00067,2,1,0
07-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00066,5,0,0
09-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00044,4,1,0
24-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00046,12,0,0
23-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00059,0,1,0
19-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00051,3,0,0
19-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00007,1,0,0
18-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00059,2,0,0
31-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00072,15,3,0
22-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00040,1,0,0
20-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00006,1,0,0
15-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00057,2,0,0
17-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00046,5,0,0
31-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00003,1,1,0
08-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00081,0,2,0
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00082,2,1,0
08-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00016,1,0,0
11-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00062,2,0,0
28-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00023,1,0,0
17-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00053,3,3,0
05-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00083,1,0,0
31-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00074,5,0,0
03-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00044,4,3,0
06-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00079,4,1,0
15-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00003,3,1,0
16-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00038,2,1,0
13-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00084,0,1,0
24-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00078,0,1,5
15-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00006,2,0,0
03-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00021,9,5,2
24-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00020,1,0,0
01-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00036,1,0,0
12-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00020,0,0,1
08-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00078,0,1,0
09-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00066,1,0,0
31-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00009,4,0,0
08-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00001,1,0,0
19-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00023,1,0,0
28-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00070,1,0,0
28-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00034,1,0,0
15-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00058,2,0,0
25-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00053,2,2,0
10-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00077,1,0,0
23-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00049,2,2,0
03-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00047,2,1,0
26-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00038,1,0,0
20-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00018,0,1,0
14-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00056,1,0,1
30-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00016,2,0,0
12-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00046,0,1,0
17-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00047,3,3,0
02-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00002,2,1,0
15-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00031,1,2,0
18-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00062,3,0,0
24-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00081,13,0,0
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00049,9,0,1
16-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00066,1,0,0
15-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00002,3,0,0
08-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00070,0,1,0
31-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00037,1,0,0
25-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00030,2,0,0
17-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00005,1,1,0
27-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00076,2,0,0
15-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00040,4,0,0
01-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00043,1,0,0
17-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00063,2,0,0
19-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00085,1,0,0
11-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00035,0,2,0
02-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,1,0,0
08-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00061,0,1,0
31-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00005,0,1,0
13-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00027,1,0,0
15-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00019,0,1,0
25-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00004,1,0,0
05-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00031,1,0,0
14-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00019,8,0,0
03-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00049,4,0,0
31-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00017,0,1,0
16-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00074,1,0,0
25-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00051,0,1,0
31-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00066,4,0,0
13-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00049,5,0,0
10-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00020,1,0,0
24-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00009,4,0,1
03-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00037,2,0,0
25-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00030,1,1,0
09-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00056,3,0,0
23-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00009,1,1,0
26-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00048,1,2,0
03-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00074,0,1,0
31-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00039,0,1,0
25-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00038,11,0,0
18-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00046,1,0,0
29-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00008,2,0,0
15-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00062,1,0,0
15-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00066,2,0,0
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00063,1,0,0
26-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00037,2,0,0
15-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,6,0,0
03-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00083,1,1,0
23-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00078,3,0,0
21-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00012,18,0,0
21-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00064,2,0,0
20-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00072,5,0,0
08-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00071,7,2,0
31-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00060,10,0,0
17-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00024,4,0,0
18-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00006,1,0,0
27-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00079,1,5,0
05-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00021,6,1,0
04-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00032,0,2,0
28-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,1,0,0
18-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00073,3,0,0
06-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00083,1,0,0
22-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00075,2,0,0
10-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00010,2,0,0
05-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00085,2,0,0
28-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00072,6,1,0
14-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00045,7,1,2
06-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00074,1,0,0
25-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00016,0,1,0
26-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00076,1,0,0
06-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00086,1,3,0
09-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00087,3,2,0
26-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00088,4,2,0
25-10-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00089,6,2,0
08-11-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00090,1,3,0
13-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00090,3,2,0
18-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00091,3,1,0
01-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00092,6,7,0
02-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00093,2,1,0
19-10-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00094,2,1,0
21-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00095,0,2,0
11-09-2025,Uttar Pradesh,Allahabad,SAMPLE_PIN_00096,3,6,0
